Time	Lead II
12.98	-0.0751131
12.99	0.0196217
13	-0.0691427
13.01	-0.0624524
13.02	-0.0179052
13.03	-0.102429
13.04	-0.00301769
13.05	-0.073866
13.06	-0.0539472
13.07	-0.00466492
13.08	-0.080486
13.09	0.0324916
13.1	-0.050932
13.11	-0.0435511
13.12	-0.0202899
13.13	-0.0989376
13.14	0.012374
13.15	-0.0632126
13.16	-0.0468168
13.17	-0.003085
13.18	-0.0875303
13.19	0.0102641
13.2	-0.0756974
13.21	-0.0565371
13.22	-0.00234526
13.23	-0.0879635
13.24	0.0126194
13.25	-0.069474
13.26	-0.0615045
13.27	-0.0192863
13.28	-0.082201
13.29	0.0490124
13.3	0.00185448
13.31	0.0340994
13.32	0.0705622
13.33	-0.0434107
13.34	0.0312998
13.35	-0.0466497
13.36	-0.0131037
13.37	0.0158172
13.38	-0.104222
13.39	-0.0184297
13.4	-0.0977771
13.41	-0.0881128
13.42	-0.0428151
13.43	-0.107675
13.44	0.0345925
13.45	0.065689
13.46	0.276033
13.47	0.26528
13.48	-0.149687
13.49	-0.323732
13.5	-0.470733
13.51	-0.343318
13.52	-0.128166
13.53	-0.090982
13.54	0.0517484
13.55	-0.0162402
13.56	0.00182438
13.57	0.0609818
13.58	-0.00245694
13.59	0.119661
13.6	0.0602876
13.61	0.0799396
13.62	0.137405
13.63	0.0650538
13.64	0.193396
13.65	0.151416
13.66	0.210033
13.67	0.301134
13.68	0.247912
13.69	0.368895
13.7	0.312923
13.71	0.313771
13.72	0.317051
13.73	0.1596
13.74	0.198927
13.75	0.0686968
13.76	0.0285649
13.77	0.0578217
13.78	-0.0576539
13.79	0.0151489
13.8	-0.0784395
13.81	-0.0762481
13.82	-0.0192836
13.83	-0.0977332
13.84	0.0073458
13.85	-0.0638746
13.86	-0.0570848
13.87	-0.0101189
13.88	-0.100463
13.89	0.000869871
13.9	-0.0695979
13.91	-0.0516037
13.92	0.0219287
13.93	-0.074102
13.94	0.0143995
13.95	-0.0586696
13.96	-0.0393327
13.97	0.0119595
13.98	-0.0987465
13.99	0.000153937
14	-0.0551729
14.01	-0.054531
14.02	-0.0104563
14.03	-0.108234
14.04	-0.00489967
14.05	-0.0666612
14.06	-0.051187
14.07	-0.0075848
14.08	-0.114052
14.09	-0.00832508
14.1	-0.0727843
14.11	-0.0626902
14.12	-0.003958
14.13	-0.106955
14.14	-0.00781829
14.15	-0.0882999
14.16	-0.0964002
14.17	-0.0213335
14.18	-0.10351
14.19	-0.00498082
14.2	-0.0669391
14.21	-0.0621417
14.22	-0.011233
14.23	-0.117285
14.24	-0.00173535
14.25	-0.0220201
14.26	0.0171721
14.27	0.0835213
14.28	-0.0205422
14.29	0.0584559
14.3	-0.0330206
14.31	-0.0644871
14.32	-0.0330663
14.33	-0.140143
14.34	-0.0266647
14.35	-0.0827395
14.36	-0.0859628
14.37	-0.0132241
14.38	-0.0947019
14.39	0.0360855
14.4	0.153141
14.41	0.234248
14.42	0.0708861
14.43	-0.314984
14.44	-0.38178
14.45	-0.408712
14.46	-0.245284
14.47	-0.0489412
14.48	-0.0768949
14.49	0.0419396
14.5	-0.0158944
14.51	0.00578542
14.52	0.0913321
14.53	-0.00228791
